product_availability,product_average_rating,product_brand,product_features,product_image,product_name,product_price,product_shipping
In stock.,Not Available,Casio,"Dial Color: Black, Case Shape: Rectangular,Band Color: Black, Band Material: Resin,Watch Movement Type: Quartz, Watch Display Type: Digital,Case Material: Resin, Resin Bezel,Water Resistance Depth: 100 meters,Warranty type:Manufacturer; 2 Years Domestic Warranty,Remove plastic at crown to start the watch",https://images-na.ssl-images-amazon.com/images/I/71QD0HSZxTL._UL1102_.jpg,Casio Youth Grey Dial Men's Watch - AE-1200WH-1AVDF (D097),975.00,FREE Delivery
In stock.,Not Available,Fastrack,"BrandFastrack Case Length 36.00 Case Thickness 7.50 Case Width 30.00 GenderWomen,Movement TypeTime Module - Y121TE ProductWatches Strap ColorSilver Strap MaterialStainless Steel,Battery CompositionLithium Dial ColorPink Function TypePlain 3 Hands Glass MaterialMineral-Colourless,3 ATM Water Resistance (30m) ; Care Instructions: Wipe with dry clean cloth when required,Lock Mechanism: Push Button Clasp",https://images-na.ssl-images-amazon.com/images/I/71pdoQ57YpL._UL1500_.jpg,"Fastrack Analog Dial Women's Watch (Pink, 6150SM04)-NK6150SM04",650.00,FREE Delivery
In stock.,Not Available,Casio,"Dial Color: Black, Case Shape: Rectangular,Band Color: Black, Band Material: Resin,Watch Movement Type: Quartz, Watch Display Type: Digital,Case Diameter: 38.2 × 35.2 × 8.5 millimeter,Water Resistence Depth: 10 meters,Warranty type:Manufacturer; 2 Years Domestic Warranty,Recommended for customers looking for a small dial sized watches",https://images-na.ssl-images-amazon.com/images/I/61lIqh7l1vL._UL1200_.jpg,Casio Youth-Digital Black Small Dial Men's Watch - F-91W-1DG (D002),895.00,FREE Delivery
In stock.,Not Available,Casio,"Dial Color: Grey, Case Shape: Rectangular, Dial Glass material: Mineral,Band Color: Silver, Band Material: Stainless Steel,Watch Movement Type: Quartz, Watch Display Type: Digital and Stainless Steel Bezel,Case Material: Stainless Steel, Case Diameter: 32 millimeters , Size of case : 36.8×33.2×8.2mm,Fold Over Clasp,Warranty type: Manufacturer; 2 Years Domestic Warranty,Luminous, Stopwatch, Water-Resistant,Remove plastic at crown to start the watch,Recommended for customers looking for a small dial sized watches",https://images-na.ssl-images-amazon.com/images/I/71Cg%2BfvO8wL._UL1500_.jpg,Casio Vintage Series Digital Grey Small Dial Men's Watch-A158WA-1Q (D011),295.00,FREE Delivery
In stock.,Not Available,Fastrack,"Dial Color: Black, Case Shape: Rectangular, Dial Glass Material: Acrylic; Case Thickness:12.5 mm; Case Length(6H-12H):50 mm,It is compatible with all iOS versions 8.0 and above and android versions 5.0 and above except the following phone models :Samsung Galaxy A9 Pro, Samsung Galaxy C9 Pro, Moto G5 series - all phones, Samsung Galaxy J2 Pro,Band Color: Black, Band Material: TPU; Watch Movement Type: processor, Watch Display Type: Digital,Case Material: Plastic, Touch screen; Note: Please charge the device completely before use,12 Months Manufacturer Warranty on manufacturing defects For technical issues kindly contact_us on : [ 1800-266-0123 ],It tracks the number of steps you have taken, the total distance you have travelled and the number of calories that you have burned,It helps you to have an active lifestyle with an inbuilt sedentary reminder which you can customise as per your lifestyle,It helps you track your sleep patterns, in the bed and off it,It acts as a remote control to click pictures on your phone, after all who doesn’t love to take the perfect selfie,Remove plastic at crown to start the watch",https://images-na.ssl-images-amazon.com/images/I/814d7DPCPfL._UL1500_.jpg,Fastrack Reflex 2.0 Activity Tracker - SWD90059PP05,695.00,FREE Delivery
In stock.,Not Available,7seven,"Accurate time keeping seven brands of tactical watch movements have an accuracy rate of lesser than 1 second per day, and it will always tell you the exact time on a specific occasion, company or other important place. The function of the analog watch is a very precise quartz movement as well as the date function,Comfortable and durable genuine leather band. flexible, comfortable, waterproof, breathable, easy to adjust the watch to your wrist size when you need a watch to prove that you value your time. Seven leather strap watches not only make your wrist feel comfortable, but also easy to match clothes. Our analog watches are perfect for adventurers or everyday people who are looking to suit themselves,100% Quality watches we offer 100% quality quartz movements for men's watches with analogue, rugged and durable, and are carefully maintained with this carefully crafted men's watch for lifetime use. Multifunctional chronograph with three minutes hands showing seconds, minutes and hours, Japanese quartz movement: strong stability, accurate time, long service life,Use our chronograph quartz sports watch, 100% risk free. 1 year warranty related issues. Customers satisfaction is our top priority and we do not compromise on material quality. Buy our waterproof watches for freeif you have any questions about your watches, please contact us at first time and we will help you deal with it in time,The perfect gift this men's watch is a quartz watch, which can be a good birthday gift and with a black leather strap and black dial, you will feel a sense of pride in wearing it. Chronograph analog watch for father, boyfriend or other male classmates and colleagues,classic, fashion, minimalist style, slim black stainless steel case",https://images-na.ssl-images-amazon.com/images/I/61JXTXPcy3L._UL1500_.jpg,"Watches for Mens Under 500,Business Quartz Wrist Watches, Leather Strap Watches,Quartz Movement Analog Chronograph Watches for Men,Wrist Watch for Father Brother Boyfriend Birthday Gift",499.00,FREE Delivery
In stock.,Not Available,SWISSTYLE,"1 Year Manufacturer's Warranty,Combo Watch For Women,White Dial & Black Dial Watch",https://images-na.ssl-images-amazon.com/images/I/61iSZLm68cL._UL1024_.jpg,Swisstyle Combo of 2 Analogue White Dial Womens Watches-Ss-703W-703B,429.00,FREE Delivery
In stock.,Not Available,EDDY HAGER,"Dial color: black, case shape: round, case material: stainless steel,Band color: silver, band material: stainless steel,Watch movement type: quartz , watch display type: analogue and day and date,Product might slightly vary from actual image",https://images-na.ssl-images-amazon.com/images/I/716SHSRMToL._UL1400_.jpg,EDDY HAGER Time Teacher Black Dial Men's Watch,329.00,FREE Delivery
In stock.,Not Available,SKMEI,"Dial Color: Multi-Colour, Case Shape: Round,Band Color: Black, Band Material: Silicon, Occasion: Casual,Watch Movement Type: Quartz, Watch Display Type: Analog-Digital,6 months Manufacturer Warranty",https://images-na.ssl-images-amazon.com/images/I/81GND6trhBL._UL1500_.jpg,Skmei Analog-Digital Multi-Colour Dial Unisex Watch - 1117BBGREY,399.00,FREE Delivery
In stock.,Not Available,PANKATI,"PANKATI -handmade with smooth indian bonded leather look material and a soft velvety interior with an elegant jacquard interior and timeless aesthetic appeal,MULTI USE-the watch storage case can be used for storing watches and jewellery .both suitable for home use or comercial use,INDIVIDUAL GRIDS- the inner 12 separate grids(with removable soft pillows) of the watch organizer box are respectively padded with cream velvet cushions to keep away from scratches,INSTRUCTION FOR BUYER- please be aware of the products sold from unauthorized seller rather than our store ( pankati ) we have never supplied or authorized for any other seller to sell this product in our brands names pankati /box house .they are selling fake and inferior products under our names .we request you to buy this product from our store pankati/box house .sorry for the troubles.we are currently seeking legal advice on bringing them in to justice.,STAINLESS STEEL LOCK -the storage case has an anti-rust lock.it is bright in color,smooth in hand .it helps greatly to keep every single collection safe",https://images-na.ssl-images-amazon.com/images/I/61PM96gU6FL._UL1280_.jpg,PANKATI Watch Storage Box Organizer with Faux Leather Finish,899.00,FREE Delivery
Only 2 left in stock.,Not Available,Generic,"HD display: High sensitive capacitive touch screen; High sensitive capacitive touch screen;perfect match technology,The lost function: Seek mobile phone, Tow-way anti lost; Entertainment: MP3,MP4,Camera;Sync function: Twitter, Facebook; time, schedule, read message or news; Sport health,Works on dual mode: company mode in which make or receive call & send or get message via Bluetooth and Network mode in which SIM card in inserted and call can be made via your network provider,GSM 850/900/1800/1900 four frequency call function, hands-free, phone records, phone book, Bluetooth phone,Note: This watch supports Android OS, Android phone's Bluetooth, APP download and connection, Note:The customer has to insert sim card with 2G networks support",https://images-na.ssl-images-amazon.com/images/I/61FG21KJAqL._SL1000_.jpg,Generic Bluetooth Smart Watch with SIM and Memory Card Support,597.00,FREE Delivery.
In stock.,Not Available,Bonjour,"Watch comes with box , Guarantee card , Invoice Watch,Dial Color: Multicolour; Dial Shape: Round,Clasp Type: Buckle; Band Style: Bracelet,6 Months guarantee against manufacturing defects",,Bonjour Men's Watch (Blue Dial Black Colored Strap),539.00,FREE Delivery
In stock.,Not Available,Bonjour,"Watch comes with box , Guarantee card , Invoice Watch,Dial Color: Multicolour; Dial Shape: Round,Clasp Type: Buckle; Band Style: Bracelet,6 Months guarantee against manufacturing defects",https://images-na.ssl-images-amazon.com/images/I/713rpev3nKL._UL1500_.jpg,Bonjour Analogue Women's & Girls' Watch (White Dial Black & Rose Gold Colored Strap),340.00,FREE Delivery
Only 1 left in stock.,Not Available,Pan Coupe,"Handcrafted WIth Passion Made In India : Handcrafted from African Red Wenge, the watch is sure to attract eyeballs. We are proudly handcrafting these watches in India since 2012.,Easily Adjustable: Use the sizing tool we send along with the watch to adjust the size as per your needs. We also provide one extra strap along with the watch.,Best gift for your loved ones on Birthdays, Weddings, Anniversary.,Details : Quartz Movement | Day & Date Display | Buckle Clasp | Mineral Glass,Warranty: 1 Year Manufacturer Warranty (Minimum Service Fee after one year)",https://images-na.ssl-images-amazon.com/images/I/81rej5QOkVL._UL1500_.jpg,Pan Coupe Red Wenge Round Wooden Watch - Aura,250.00,FREE Delivery
In stock.,Not Available,OGTECH,"✅ Super thin and high transparency design guarantees HD viewing experience.,✅ Specially Designed For Realme watch, Not Tempered Glass,✅ The scratches on the screen will naturally recover, the more subtle the faster,✅ Significantly increase the screen Sturdy, no need to worry about the screen is fragile for Daily use,✅ Hydrogel soft film is the most suitable protective film on the market for curved screens.",https://images-na.ssl-images-amazon.com/images/I/61Whzt0ZqFL._SL1500_.jpg,OGTECH Ultra thin Screen Protector film For Realme Watch (Pack of 2),161.00,FREE Delivery.
In stock.,Not Available,Sonata,"Dial Color: Black, Case Shape: Rectangular, Dial Glass Material: Acrylic,Band Color: Black, Band Material: Rubber,Watch Movement Type: processor, Watch Display Type: Digital,Case Material: Plastic, Case Diameter: 45 millimeters,Water Resistance Depth: 30 meters,touch screen; Strap Type: TPU,24 Months manufacturer warranty on manufacturing defects,For any product related queries contact_us on: [1800- 266- 0123]",https://images-na.ssl-images-amazon.com/images/I/71F1JTuFLhL._UL1500_.jpg,Sonata SF Rush Black Dial Unisex's Activity tracker - SWD77087PP01,799.00,FREE Delivery
In stock.,Not Available,Espoir,"Dial Color: Blue, Case Shape: Round, Dial Glass Material: Glass,Band Color: Blue, Band Material: Leather,Watch Movement Type: Quartz, Watch Display Type: Analog,Case Material: Stainless Steel, Case Diameter: 38 millimeters, Band Width: 22 Millimeters,Water Resistance Depth: 3 meters,6 months manufacturer warranty on manufacturing defects",https://images-na.ssl-images-amazon.com/images/I/71X40OR8ShL._UL1500_.jpg,Espoir Analogue Blue Dial Day and Date Boy's and Men's Watch - CheckBlueRay0507,279.00,FREE Delivery
In stock.,Not Available,AHMAD ENTERPRISE,"Call reminder, SMS reminder, QQ reminder, Wechat reminder, Skype, Facebook, whatsApp reminder.,Sedentary Reminder--Sometimes you may sit for a long time, which is not good for your health,Sports and health: Sports step (3D sensor), calorie consumption, exercise distance, pedometer ,Support Dynamic Heart rate, Blood Pressure (Non Medical Use), Blood Oxygen monitoring, Support call reminder and message reminder,Professional High-Level Waterproof Smartwatch;-The New design with advanced waterproof technology and powerful versatility to make your life healthier and more colorful.,All-day activity tracking: Track steps, distance, calories burned, active minutes, you can check daily activity and time on OLED display or APP",https://images-na.ssl-images-amazon.com/images/I/51vj7-8LK2L._SL1012_.jpg,"M4 Smart Fitness Band, Fitness Tracker Watches for Men | Women | Kids | Sports Activity Tracker Watch Step Counter Calories Counter, Sleep Monitor SMS, Call Reminder, Camera Shoot",469.00,FREE Delivery
In stock.,Not Available,Lamkei,Designed by Lamkei in Japan,https://images-na.ssl-images-amazon.com/images/I/81UO-8P3tzL._UL1500_.jpg,Lamkei XLAM-1320 Black Dial Grey Silicone Strap Digital Multifunction Watch for Men,949.00,FREE Delivery
In stock.,Not Available,LOUIS DEVIN,"Dial Color: Green Case Color: Black,Strap: Green Leather Strap,Feature: Day and Date Display,Package Contents: 1 Wrist Watch & Warranty Card,Warranty Summary: 1 Year Manufacturer's warranty on all the manufacturing defects including the machine movement. Any damages due to wear and tear or mishandling of the product are not covered under warranty. The quartz movement is covered under warranty but the cell is not covered under warranty.",https://images-na.ssl-images-amazon.com/images/I/815WsVOPDLL._UL1500_.jpg,Louis Devin BK030-GRN Green Leather Strap Wrist Watch for Men,369.00,July 4 - 5
In stock.,Not Available,NIBOSI,"MATERIAL: High quality black stainless steel band with double push button clasp, Precise Japan quartz movement.,FUNCTIONS: All sub-dials and watch hands are good working, Full Functional Chronograph, 30M waterproof and Date Display,WATERPROOF: water resistant to 30 meters(99 feet), in general, withstands splashes or brief immersion in water, but not suitable for swimming or bathing,You can adjust the strap with the included tool pin,CUSTOMER SERVICE: Please do not worry any quality problem, All watch in our store will enjoy 24 Month warranty. 30 Day money back guarantee for any reason.",https://images-na.ssl-images-amazon.com/images/I/61xAocXEDyL._UL1200_.jpg,NIBOSI Chronograph Black Dial Men's Watch,999.00,FREE Delivery
In stock.,Not Available,Lamkei,Designed by Lamkei in Japan,https://images-na.ssl-images-amazon.com/images/I/81mhwp5haFL._UL1500_.jpg,Lamkei XLAM-1321 Black Dial Black Silicone Strap Digital Multifunction Watch for Men,949.00,FREE Delivery
In stock.,Not Available,Espoir,"Dial Color: Blue , Case Shape: Round,Case material: Leather,Band Color: Brown , Band Material: Leather,Watch Movement Type: Quartz , Watch Display Type: Analog,Packed In Espoir Gift Box,1 Year Espoir Warranty Against Manufacturing Defects",https://images-na.ssl-images-amazon.com/images/I/71SFb25cLkL._UL1500_.jpg,Espoir Analogue Leather Strap Day and Date Men's Boy's Watch - ES2348,299.00,FREE Delivery
In stock.,Not Available,REDUX,"Watch Strap Colour : Black, Watch Strap Material : Patent Leather, Case shape-Round",https://images-na.ssl-images-amazon.com/images/I/71gdBQP%2BqGL._UL1500_.jpg,REDUX Analog Black Dial Men's & Boys' Watch,285.00,FREE Delivery
In stock.,Not Available,SKMEI,"Dial Color: Black, Case Shape: Round,Band Color: Black, Band Material: Resin, Luminous mode,Watch Movement Type: Quartz, Watch Display Type: Analog-Digital and Case Material: Resin, Case Diameter: 55 milimeters,Feature: Back Light,Alarm,Water Resistant,Complete Calendar,Chronograph. Dimensions : 15 × 12 × 8 cm; Weight : 0.2 kg,1 year manufacturer warranty on manufacturing defects",https://images-na.ssl-images-amazon.com/images/I/71f4NXf0q4L._UL1200_.jpg,SKMEI Analog Digital Round Dial Men's Watch- Series1155,376.00,FREE Delivery
In stock.,Not Available,IIK COLLECTION,"Display: analogue, movement: quartz,Band material: ceramic,Warranty of 12 months,Package includes warranty card, company box",https://images-na.ssl-images-amazon.com/images/I/81GvwSUtpqL._UL1500_.jpg,IIK COLLECTION Analogue Men's Watch (Black Dial),431.00,FREE Delivery
In stock.,Not Available,SKMEI,"Dial color: black, case shape: round, dial glass material: mineral,Band color: black, band material: plastic,Watch movement type:, watch display type: digital; Style: Sport,Fashion,Casual,Case material: plastic, case diameter: 49 millimeters,Water resistance depth: 50 meters, buckle clasp,Functions: Chronograph , Back Light , LED display , Shock Resistant , Date , Complete Calender , Multiple Time Zone , Alarm,6 months manufacturer warranty on manufacturing defects",,SKMEI Digital Black Dial Men's Watch,363.00,FREE Delivery
In stock.,Not Available,REDUX,"Day and date display,Watch Strap Colour : Brown, Watch Strap Material : Leather, Case shape-Round,Suitable for Party Wedding, Formal and Casual Occasion,Works on Japanese Quartz Movement,One Year REDUX Manufacturing Warranty only, reach out to Brand at contact details provided in the product Box",https://images-na.ssl-images-amazon.com/images/I/910D0vQR2HL._UL1500_.jpg,REDUX Analogue Brown Dial Men's & Boys' Watch,285.00,FREE Delivery
In stock.,Not Available,SWISSTONE,"Dial Color: Pink Case Color: Silver,Strap Type: Ionised Silver plated Bracelet,Strap Width: 8mm,Package Contents: 1 Wrist Watch & Warranty Card,Warranty Summary: 1 Year Manufacturer's warranty on all the manufacturing defects including the machine movement. Any damages due to wear and tear or mishandling of the product are not covered under warranty. The quartz movement is covered under warranty but the cell is not covered under warranty.",https://images-na.ssl-images-amazon.com/images/I/817iC5Eq49L._UL1500_.jpg,SWISSTONE Analogue Women's Watch (Pink Dial SIlver Colored Strap),449.00,FREE Delivery
In stock.,Not Available,SKMEI,,https://images-na.ssl-images-amazon.com/images/I/61qH9ceEvrL._UL1100_.jpg,SKMEI Analogue - Digital White Dial Men's Watch,396.00,FREE Delivery
product_availability,product_average_rating,product_brand,product_features,product_image,product_name,product_price,product_shipping
In stock.,Not Available,SKMEI,"Black Dial,Men's Watch,Analogue- Digital",https://images-na.ssl-images-amazon.com/images/I/81UHRI6uiVL._UL1500_.jpg,SKMEI Analog Digital Black Strap Men's Watch - 1155,374.00,FREE Delivery
In stock.,Not Available,REDUX,"Day and date display,Watch strap colour : blue, watch strap material : leather, case shape-round,Suitable for party wedding, formal and casual occasion,Manufacturing warranty also,Works on Japanese quartz movement",https://images-na.ssl-images-amazon.com/images/I/81BDpSIwu3L._UL1500_.jpg,Redux Analogue Blue Dial Men’s & Boy's Watch RWS0216S,285.00,FREE Delivery
In stock.,Not Available,SKMEI,"Dial Color: Black, Case Shape: Round,Band Color: Black, Band Material: Silicone,Watch Movement Type: Quartz, Watch Display Type: Analog-Digital,Case Material: Plastic, Case Diameter: 55 millimeters,6 months manufacturer warranty on manufacturing defects,164 ft waterproof (50 M) - 5ATM water resistant, NOTE: please DO NOT press any buttons in the water",https://images-na.ssl-images-amazon.com/images/I/71BfsR4Ld9L._UL1500_.jpg,SKMEI Analog Digital Quartz Men's Watch with Silicone Strap - AD1155,375.00,FREE Delivery
In stock.,Not Available,BEARDO,,https://images-na.ssl-images-amazon.com/images/I/8199%2B8E8qoL._UL1500_.jpg,BEARDO Analogue Men's & Boys' Watch (Assorted Dial Assorted Colored Strap) (Pack of 6),549.00,FREE Delivery
In stock.,Not Available,SKMEI,"Dial Color: Blue, Case Shape: Round, Dial Glass Material: Glass,Band Color: Black, Band Material: Rubber ; Function: 3 Time, Chrono, Alarm, Date, Week, EL, 12/24 Hour Clock, Count ; Band: PU, Buckle: Stainless Steel,Watch Movement Type: Quartz, Watch Display Type: Analog-Digital,Case Material: Stainless Steel, Case Diameter: 46 millimeters,Water Resistance Depth: Mild Resistance, Not for Swimming meters, Watch Movement Type: Quartz, Watch Display Type: Analog-Digital,6 months manufacturer warranty on manufacturing defects",https://images-na.ssl-images-amazon.com/images/I/61bTR1wJ9dL._UL1100_.jpg,SKMEI Analogue - Digital Black Dial Men's & Boys' Watch,410.00,FREE Delivery
In stock.,Not Available,SKMEI,"Dial color: black, case shape: round, dial glass material: mineral,Band color: black, band material: plastic, Shock Resistant,Watch movement type: watch movement type: , watch display type: digital,Case material: plastic, case diameter: 49 millimeters,Water resistance depth: 50 meters, buckle clasp,Alarm; light; Weight : 0.2 kg,6 months manufacturer warranty on manufacturing defects",https://images-na.ssl-images-amazon.com/images/I/71HG4moOe4L._UL1500_.jpg,SKMEI Digital Black Dial Men's Watch,435.00,FREE Delivery.
In stock.,Not Available,SWADESI STUFF,"Dial Colour: Black | Case Material: Rubber | Sports Digital Army Watch,Alarm Function | Stopwatch Stag Timekeeping Function | Night Light | Back Light,Standard Display : Hour, Minute, Second, Month, Date, Week | 7 Different Light Options Available,All Product Is Genuinely Tested Before Dispatching. Add This to Your Collection to Exquisite & Elegant Watches.,Warranty: Six Months Warranty on Manufacturing Defect | A Perfect Gift for Kids, Friends, Families, Lovers etc.",https://images-na.ssl-images-amazon.com/images/I/71tF6JBQFUL._UL1500_.jpg,SWADESI STUFF Digital Multicolour Dial Boys' Watch,299.00,FREE Delivery
In stock.,Not Available,SKMEI,"Original Skmei Brand Sports Watch Suitable for Men as well as Kids ( Kindly check the dimensions to ensure it fits on the kids' wrist),Original Japanese Quartz Movement: provide precise and accurate time keeping,Dial Diameter: 50mm; Case Thickness: 17mm; Band Width: 22mm; Wristband Length: 250mm,Auto Date,Perpetual Calendar,Diver,Rattrapante,Moon Phase,Alarm,Chronograph,Water Resistant,Complete Calendar,Multiple Time Zone,Luminous,LED display,Shock Resistant,Back Light,50 Meters Water Resistant(Please Don't Press Any Keys Underwater)","[<Selector xpath=""//div[@id='imgTagWrapperId']/img/@src"" data='\ndata:image/jpeg;base64,/9j/4AAQSkZJR...'>]",SKMEI Digital Men's Watch,380.00,FREE Delivery
In stock.,Not Available,SWISSTONE,"Dial Color: Pink Case Color: Silver,Strap Type: Ionised Silver plated Bracelet,Strap Width: 8mm,Package Contents: 1 Wrist Watch & Warranty Card,Warranty Summary: 1 Year Manufacturer's warranty on all the manufacturing defects including the machine movement. Any damages due to wear and tear or mishandling of the product are not covered under warranty. The quartz movement is covered under warranty but the cell is not covered under warranty.",https://images-na.ssl-images-amazon.com/images/I/817iC5Eq49L._UL1500_.jpg,SWISSTONE Analogue Women's Watch (Pink Dial SIlver Colored Strap),449.00,FREE Delivery
In stock.,Not Available,JAGER,"Dial color: BLACK | Band color: BLACK,Watch Display Type: Analogue,Dial Shape: Round | Beautiful Display,All Product Is Genuinely Tested Before Dispatching,Add This to Your Collection to Exquisite & Elegant Watches. Buy One Now, Only LIMITED TIME PIECES Available!",https://images-na.ssl-images-amazon.com/images/I/71Gy-f3tb0L._UL1500_.jpg,JAGER Analogue Men's Watch (Black Dial Black Colored Strap),249.00,FREE Delivery
In stock.,Not Available,BRAND GALLERY,"Strap colour : borwn, strap material : leather,Dial colour : white,Analog Display,Suitable for party wedding, formal and casual occasion,1 year manufacturing warranty card also,Works on Japanese quartz movement",https://images-na.ssl-images-amazon.com/images/I/619cnbXdoaL._UL1100_.jpg,BRAND GALLERY Analogue Men's & Boys' Watch (Silver Dial Brown Colored Strap),195.00,FREE Delivery
In stock.,Not Available,Mi,"Up to 20 days of battery life (If Automatic Heart Rate feature is turned on then expected battery life will be 3-9 days). Compatible with Android 4.4 or later/iOS 9.0 or later,Use Mi-Fit App to connect the phone. Connectivity - Bluetooth 4.2,0.78” OLED touch screen. The adjustable strap length is 155 - 216mm,Call and Notification Alert: Read messages and receive call notification and alerts from applications such as Uber, WhatsApp etc,Continuous Heart rate monitoring, sleep analysis and advanced step tracking,Find my phone feature: Ring your phone, if it is misplaced; Phone Unlock feature (Android Only),5ATM - Water resistant upto 50 metres,Get Idle Alert and Weather Forecast, View data by simply raising your wrist,Devices with Android 4.4, iOS 7.0 or above with Bluetooth 4.0 and above,Customer care number: Call 18001036286 or Reach Out to Nearest Authorized Service Center of Xiaomi for any after sales support",https://images-na.ssl-images-amazon.com/images/I/71ZIrJ6XLLL._SL1500_.jpg,Mi Band 3 (Black),399.00,FREE Delivery
